"id","country_id:id","name","code"
base.state_cu_1,base.cu,"Pinar del Río","PRI"
base.state_cu_2,base.cu,"Artemisa","ART"
base.state_cu_3,base.cu,"Habana","HAB"
base.state_cu_4,base.cu,"Mayabeque","MAY"
base.state_cu_6,base.cu,"Isla de la Juventud","IJV"
base.state_cu_7,base.cu,"Matanzas","MAT"
base.state_cu_8,base.cu,"Villa Clara","VCL"
base.state_cu_9,base.cu,"Cienfuegos","CFG"
base.state_cu_10,base.cu,"Sancti Spíritus","SSP"
base.state_cu_11,base.cu,"Ciego de Ávila","CAV"
base.state_cu_12,base.cu,"Camagüey","CMG"
base.state_cu_13,base.cu,"Las Tunas","LTU"
base.state_cu_14,base.cu,"Holguín","HOL"
base.state_cu_15,base.cu,"Granma","GRA"
base.state_cu_16,base.cu,"Santiago de Cuba","SCU"
base.state_cu_17,base.cu,"Guantánamo","GTM"